,id_paper,Authors
61,9201062,"['G. Bimonte', 'P. Salomonson', 'A. Simoni', 'A. Stern']"
62,9201063,"['Marc Kamionkowski', 'John March-Russell']"
63,9201064,['J.L.F. Barbon']
64,9201065,"['Yoichiro Matsumura', 'Norisuke Sakai', 'Yoshiaki Tanii']"
65,9201066,"['Yoichiro Matsumura', 'Norisuke Sakai', 'Yoshiaki Tanii']"
66,9201067,"['G. W. Delius', 'M.T. Grisaru', 'D. Zanon']"
67,9201068,"['M. Martellini', 'M. Spreafico', 'K. Yoshida']"
68,9201069,"['M. Martellini', 'M. Spreafico', 'K. Yoshida']"
69,9201070,"['E.Nissimov', 'S.Pacheva', 'I.Vaysburd']"
70,9201071,"['N. Chair', 'V.K. Dobrev', 'H. Kanno']"
71,9201072,['Shamit Kachru']
72,9201073,['Alex Lyons']
73,9201074,"['J. Russo', 'L. Susskind', 'L. Thorlacius']"
74,9201075,"['K.Amano', 'S.Higuchi']"
75,9201076,['Mark Doyle (Princeton University)']
76,9201077,['Vl.S.Dotsenko']
77,9201078,"['Philip C. Argyres', 'Keith R. Dienes', 'and S.-H. Henry Tye']"
78,9201079,"['M. Bauer', 'N. Sochen']"
79,9201080,"['P. Furlan', 'A. Ch. Ganchev', 'R. Paunov', 'V. B. Petkova']"
80,9202001,"['N. Read', 'G. Moore']"
81,9202002,"['Stephen-wei Chung', 'S.-H. Henry Tye']"
82,9202003,"['Marc Kamionkowski', 'John March-Russell']"
83,9202004,"['S.B. Giddings', 'A. Strominger']"
84,9202005,['David Gershon']
85,9202006,"['L. Chekhov', 'Yu. Makeenko']"
86,9202007,"['Philip C. Argyres', 'James M. Grochocinski', 'and S.-H. Henry Tye']"
87,9202008,['Petr Horava']
88,9202009,"['Y. Imamura', 'M. Sakamoto', 'T. Sasada', 'M. Tabuse']"
89,9202010,['G. Nagao']
90,9202011,"['P. Fendley', 'K. Intriligator']"
91,9202012,"['Satoshi Iso', 'Dimitra Karabali', 'B. Sakita']"
92,9202013,['V.Spiridonov']
93,9202014,"['C.F.E. Holzhey', 'F. Wilczek']"
94,9202015,['Barton Zwiebach']
95,9202016,"['Noah Linden', 'Malcolm Perry']"
96,9202017,['Sheldon Katz']
97,9202018,"['Bernd Bruegmann', 'Rodolfo Gambini', 'Jorge Pullin']"
98,9202019,['Shahar Ben-Menahem (SLAC)']
99,9202020,['F.Ravanini']
100,9202021,['Erik Verlinde']
101,9202022,['Lee Smolin']
102,9202023,"['Richard H. Price', 'Jorge Pullin']"
103,9202024,"['Christopher Ting', 'C. H. Lai']"
104,9202025,['J.W. van Holten']
105,9202026,"['G. Ferretti', 'S.G. Rajeev']"
106,9202027,['G. Nagao']
107,9202028,['Changrim Ahn']
108,9202029,"['Alexander Balatsky (Los Alamos National Laboratory,Theoretical']"
109,9202030,"['L.F. Cugliandolo', 'G.L. Rossini', 'F.A. Schaposnik']"
110,9202031,"['S. Mignemi ', 'D.L. Wiltshire']"
111,9202032,['Hidetoshi Awata']
112,9202033,"['G. Papadopoulos', 'B. Spence']"
113,9202034,"['Timothy R. Klassen', 'Ezer Melzer']"
114,9202035,['Adel Bilal']
115,9202036,"['P.S. Howe', 'G. Papadopoulos']"
116,9202037,['Dieter R. Brill']
117,9202038,"['L. F. Cugliandolo', 'F. A. Schaposnik', 'H. Vucetich']"
118,9202039,"['Maximilian Kreuzer', 'Harald Skarke']"
119,9202040,"['Jose M. Figueroa-OFarrill', 'Eduardo Ramos']"
120,9202041,['Michael Lassig']
121,9202042,['Marcio J.Martins']
122,9202043,"['H.O. Girotti', 'M. Gomes', 'V.O. Rivelles']"
123,9202045,['Amitabha Lahiri']
124,9202046,"['Luis E. Ibanez', 'Dieter Luest']"
125,9202047,"['Daniel Altschuler', 'Antoine Coste']"
126,9202048,['Alexander Moroz']
127,9202049,"['I.Ya.Arefeva', 'A.P.Zubarev']"
128,9202050,"['J.D. Cohn', 'H. Dykstra']"
129,9202051,"['P.~Berglund', 'B.R.~Greene', 'T.~Hubsch']"
130,9202052,"['A.P.Balachandran', 'W.D.McGlinn', 'L.ORaifeartaigh', 'S.Sen', 'R.D.Sorkin,']"
131,9202053,"['Abhay Ashtekar', 'C.J. Isham']"
132,9202054,"['Abhay Ashtekar', 'Carlo Rovelli', 'Lee Smolin']"
133,9202055,['A. Mikovic']
134,9202056,"['D.B. Fairlie', 'J. Govaerts']"
135,9202057,['Alexios P. Polychronakos']
136,9202058,"['Katsushi Ito', 'Jens Ole Madsen']"
137,9202059,"['Mary K. Gaillard', 'T.R. Taylor']"
138,9202060,"['H. Lu', 'C.N. Pope', 'S. Schrans', 'X.J. Wang']"
139,9202061,['P. Bowcock']
140,9202062,"['Michael Wolf', 'Barton Zwiebach']"
141,9202063,"['Abhay Ashtekar', 'Carlo Rovelli']"
142,9202064,['F. A. Schaposnik']
143,9202065,"['Jean Avan', 'Antal Jevicki']"
144,9202066,['V.G.J. Rodgers']
145,9202067,['Mirjam Cvetic']
146,9202068,"['R.B. Mann', 'M.S. Morris', 'S.F. Ross']"
147,9202069,"['G.W. Delius', 'M.T. Grisaru', 'D. Zanon']"
148,9202070,"['H. G. Kausch', 'G. M. T. Watts']"
149,9202071,"['Giorgio Immirzi (Universita di Perugia ', 'INFN Perugia', 'Italy)']"
150,9202072,['X. Shen']
151,9202073,"['Peter G. O. Freund', 'Anton V. Zabrodin']"
152,9202074,['D. Boulatov']
153,9202075,"['Mark Alford', 'Andrew Strominger']"
154,9202076,['Lee Smolin']
155,9202077,"['B. S. Balakrishna', 'Kameshwar C. Wali']"
156,9202078,['Zhu Yang']
157,9202079,"['Abhay Ashtekar', 'Carlo Rovelli', 'Lee Smolin']"
158,9202080,"['Yukihisa Itoh', 'Yoshiaki Tanii']"
159,9202081,['Michiaki Takama']
160,9202082,"['Haye Hinrichsen', 'Vladimir Rittenberg']"
161,9202083,"['Makoto Sakamoto', 'Masayoshi Tabuse']"
162,9202084,"['Tsutomu Horiguchi', 'Makoto Sakamoto', 'Masayoshi Tabuse']"
163,9202085,"['C. Callan', 'A. Felce', 'and D. Freed']"
164,9202086,['E. Sezgin']
165,9202087,"['R. Saroja', 'A. Sen']"
166,9202089,"['E. Abdalla', 'M.C.B. Abdalla', 'D. Dalmazi', 'K. Harada']"
167,9202090,['By Matt Visser']
168,9202092,"['Paul Ginsparg', 'Fernando Quevedo']"
169,9203001,"['Jack Morse ', 'Rolf Schimmrigk']"
170,9203002,"['Yoshiaki Tanii', 'Shun-ichi Yamaguchi']"
171,9203003,"['F. Colomo', 'A. Koubek', 'G. Mussardo']"
172,9203004,"['A.N. Kirillov', 'P. Mathieu', 'D. Senechal', 'M. Walton']"
173,9203005,"['K.N. Anagnostopoulos', 'M. J. Bowick']"
174,9203006,"['Kiyoshi Kamimura', 'Sinobu Makita', 'Takeshi Fukuyama']"
175,9203007,"['Domenico Giulini', 'Jorma Louko']"
176,9203008,"['Amit Giveon', 'Alfred Shapere']"
177,9203009,"['J. Ambjorn', 'L. Chekhov', 'Yu. Makeenko']"
178,9203010,['Sudipta Mukherji']
179,9203011,['Daniel Arnaudon']
180,9203012,"['John Ellis', 'N.E. Mavromatos', 'D.V. Nanopoulos']"
181,9203013,"['T.R.Govindarajan', 'R.Shankar', 'N.Shaji', 'M.Sivakumar']"
182,9203014,"['Lay Nam Chang', 'Chopin Soo']"
183,9203015,"['Nicola Maggiore', 'Paolo Provero']"
184,9203016,"['Gary Kleppe', 'R. P. Woodard']"
185,9203017,['Jouko Mickelsson']
186,9203018,['L. J. Romans']
187,9203019,['S.Dalley']
188,9203020,['J. Laartz']
189,9203021,"['Joaquim Gomis', 'Hiroshi Suzuki']"
190,9203022,"['Clifford Johnson', 'Tim Morris', 'Bill Spence']"
191,9203023,"['G.W. Gibbons', 'M.E. Ortiz', 'F. Ruiz Ruiz', 'T.M. Samols']"
192,9203024,"['H. Lu', 'C.N. Pope', 'S. Schrans', 'X.J. Wang']"
193,9203025,"['J. Lopez', 'D. Nanopoulos', 'and K. Yuan']"
194,9203026,['M. Blau']
195,9203027,['C.K. Zachos']
196,9203028,['Andrea Pasquinucci']
197,9203029,"['Kurt Haller', 'Edwin Lombridas']"
198,9203030,"['Ivan K. Kostov', 'Matthias Staudacher']"
199,9203031,['Petr Horava']
200,9203032,['Roger Brooks']
201,9203033,['A.A. Tseytlin']
202,9203034,['Kanehisa Takasaki']
203,9203035,"['C. Gomez', 'G. Sierra']"
204,9203036,"['G.Aldazabal', 'J.M.Maldacena']"
205,9203037,"['I. T. Ivanov', 'D. B. Uglov (SUNY Stony Brook)']"
206,9203038,"['F. De Jonghe', 'R. Siebelink', 'W. Troost']"
207,9203039,"['Jean-Loup Gervais', 'Mikhail V. Saveliev']"
208,9203040,"['Bernd Bruegmann', 'Rodolfo Gambini', 'Jorge Pullin']"
209,9203041,"['Julian Barbour', 'Lee Smolin']"
210,9203042,"['B. Birnir', 'S.B. Giddings', 'J.A. Harvey', 'and A. Strominger']"
211,9203043,"['S.Kharchev', 'A.Marshakov', 'A.Mironov', 'A.Morozov']"
212,9203044,"['A.Marshakov', 'A.Mironov', 'A.Morozov', 'M.Olshanetsky']"
213,9203045,"['E.S. Fradkin', 'V.Ya Linetsky']"
214,9203046,"['F.Alexander Bais', 'Peter van Driel', 'Mark de Wild Propitius']"
215,9203047,"['F.Alexander Bais', 'Peter van Driel', 'Mark de Wild Propitius']"
216,9203048,"['F.Bonechi', 'E.Celeghini', 'R.Giachetti', 'E.Sorace', 'M.Tarlini']"
217,9203049,['Hiroki Fukutaka']
218,9203050,"['Dan Christensen', 'Robert B. Mann']"
219,9203051,"['A.Galperin', 'E.Sokatchev']"
220,9203052,['S. W. Hawking']
221,9203053,"['M.Carfora', 'M.Martellini', 'A.Marzuoli']"
222,9203054,"['L. Susskind', 'L. Thorlacius']"
223,9203055,"['G.Bonacina', 'A.Gamba', 'M.Martellini']"
224,9203056,"['Daniel Cangemi', 'Roman Jackiw']"
225,9203057,['Matt Visser']
226,9203058,"['J. Distler', 'M. Doyle']"
227,9203059,['S.B. Giddings']
228,9203060,"['G. Moore', 'R. Plesser']"
229,9203061,['Gregory Moore']
230,9203062,['Didier A Depireux']
231,9203063,['Dileep P. Jatkar']
232,9203064,"['C. Destri', 'H.J. de Vega']"
233,9203065,"['C. Destri', 'H.J. de Vega']"
234,9203066,"['S. Cecotti', 'C. Vafa']"
235,9203067,"['Ralph Lano', 'V.G.J. Rodgers']"
236,9203068,['V.G.J. Rodgers']
237,9203069,"['Lev Rozansky', 'Herbert Saleur']"
238,9203070,"['P.S. Howe', 'G. Papadopoulos']"
239,9203071,"['I. Antoniadis', 'E. Gava', 'K. S. Narain']"
240,9203072,['Francisco D. Mazzitelli']
241,9203073,['Sergei V. Pokrovsky']
242,9203074,['Andrew Parkes']
243,9203075,"['E. Abdalla', 'M. Forger']"
244,9203076,['T.J. Hollowood']
245,9203077,['T.Tjin']
246,9203078,"['S.J. Gates', 'Jr', 'H. Nishino', 'S.V. Ketov']"
247,9203079,"['Abhay Ashtekar', 'Carlo Rovelli', 'Lee Smolin']"
248,9203080,"['H. Nishino', 'S.J. Gates', 'Jr', 'and S.V. Ketov']"
249,9203081,"['S.V. Ketov', 'S.J. Gates', 'Jr.', 'H. Nishino']"
250,9203082,"['Dan Kabat', 'Miguel Ortiz']"
251,9203083,"['James H. Horne', 'Gary T. Horowitz']"
252,9203084,['Anamaria Font']
253,9204001,"['A.Aurilia', 'E.Spallucci']"
254,9204002,"['T. T. Burwick', 'A. H. Chamseddine']"
255,9204003,"['Srinandan Dasmahapatra', 'Rinat Kedem', 'Barry McCoy']"
256,9204004,"['Daniel Z. Freedman', 'Gianluca Grignani', 'Nuria Rius', 'Kenneth Johnson']"
257,9204006,['Fernando Quevedo']
258,9204007,"['H.Itoyama', 'B.Razzaghe-Ashrafi']"
259,9204008,['Daniel Cangemi']
260,9204009,"['Giuseppe Bonacina', 'Maurizio Martellini', 'Mario Rasetti']"
261,9204010,"['Taro Kashiwa', 'Shuji Nima', 'Seiji Sakoda']"
262,9204011,"['Supriya K. Kar', 'Alok Kumar']"
263,9204012,"['B. de Carlos', 'J.A. Casas', 'C. Munoz']"
264,9204013,['Joseph A. Minahan']
265,9204014,['C. G. Torre']
266,9204015,"['T.T. Burwick', 'A.H. Chamseddine', 'K.Meissner']"
267,9204016,"['E.Ivanov', 'S.Krivonos', 'A.Pichugin']"
268,9204017,"['Sanjay Jain', 'Samir D. Mathur']"
269,9204018,"['E. Brezin', 'S. Hikami']"
270,9204019,"['L.Bonora', 'C.S.Xiong']"
271,9204020,"['D. Gepner', 'A. Schwimmer (Weizmann Institute of science', 'Israel)']"
272,9204021,['Claudio Coriano']
273,9204022,"['N. Manojlovic', 'A. Mikovic']"
274,9204023,"['E.Ivanov', 'S.Krivonos']"
275,9204024,['J. Panvel']
276,9204025,"['Ruth Gregory', 'Jeffrey Harvey']"
277,9204026,"['Olaf Lechtenfeld', 'Chiara Nappi']"
278,9204027,['Miao Li']
279,9204028,"['Avinash Dhar', 'Gautam Mandal', 'Spenta R. Wadia']"
280,9204029,['Viqar Husain']
281,9204030,"['I. Antoniadis', 'E. Gava', 'K.S. Narain']"
282,9204031,"['M. Cvetic', 'S. Griffies']"
283,9204032,"['A. Carlini', 'F. Fucito', 'M. Martellini']"
284,9204033,['Nathan Weiss']
285,9204034,['Andre J. van Tonder']
286,9204035,"['A. Ceresole', 'R. DAuria', 'S. Ferrara', 'W. Lerche', 'J. Louis']"
287,9204036,['Philippe Roche']
288,9204037,"['S. Stieberger', 'D. Jungnickel', 'J. Lauer', 'M. Spalinski']"
289,9204038,"['H. Lu', 'C.N. Pope']"
290,9204039,"['A.Aurilia', 'A.Smailagic', 'E.Spallucci']"
291,9204040,"['S. Ferrara', 'P. Fre', 'P. Soriani']"
292,9204041,"['P. Fre', 'L. Girardello', 'A. Lerda', 'P. Soriani']"
293,9204042,['E. Raiten']
294,9204043,"['Toshio Nakatsu', 'Yuji Sugawara']"
295,9204044,"['Nicola Maggiore', 'Silvio P. Sorella']"
296,9204045,"['Alberto Blasi', 'Nicola Maggiore', 'Silvio P. Sorella']"
297,9204046,['Ashoke Sen']
298,9204047,['Gordon Semenoff']
299,9204048,"['David Eliezer', 'Gordon Semenoff']"
300,9204049,"['M. Bershadsky', 'D. Kutasov']"
301,9204050,"['Toshio Nakatsu', 'Yuji Sugawara']"
302,9204051,['S. Forste']
303,9204052,"['Igor R. Klebanov', 'Andrea Pasquinucci']"
304,9204053,['Shamit Kachru']
305,9204054,"['F.Bonechi', 'E.Celeghini', 'R. Giachetti', 'E. Sorace', 'M.Tarlini']"
306,9204055,['C. G. Torre']
307,9204056,"['Gerald Dunne', 'Roman Jackiw']"
308,9204057,"['Gerald Dunne', 'Roman Jackiw']"
309,9204058,['Jae-Suk Park']
310,9204059,"['Hideaki Aoyama', 'Arihiro Tamura']"
311,9204060,"['A.Klemm', 'R.Schimmrigk']"
312,9204061,"['J.P. Rodrigues', 'A.J. van Tonder']"
313,9204062,['Matt Visser']
314,9204063,['A.M.Semikhatov']
315,9204064,"['Brian Davies', 'Omar Foda', 'Michio Jimbo', 'Tetsuji Miwa', 'Atsushi']"
316,9204065,"['Joaquim Gomis', 'Jordi Par{\\i}s']"
317,9204066,['C.S.Aulakh']
318,9204067,"['Kenichro Aoki', 'Eric DHoker']"
319,9204068,"['Omar Foda', 'and Tetsuji Miwa']"
320,9204069,['Peter Peldan']
321,9204070,"['A.Smailagic', 'E.Spallucci']"
322,9204071,"['F. Delduc', 'E.Ivanov', 'E. Sokatchev']"
323,9204072,"['S.B. Giddings', 'W.M. Nelson']"
324,9204073,['Hiroshi Nohara']
325,9204074,"['D. B. Fairlie', 'J. Govaerts']"
326,9204075,"['G. Ferretti', 'S.G.Rajeev', 'Z. Yang']"
327,9204076,"['G. Ferretti', 'S.G.Rajeev', 'Z. Yang']"
328,9204077,"['A. Kent', 'G. Watts']"
329,9204078,['K. Behrndt']
330,9204079,"['Juan Garcia-Bellido', 'Mariano Quiros']"
331,9204080,"['Claudio Coriano', 'Rajesh R. Parwani', 'Hidenaga Yamagishi', 'Ismail Zahed']"
332,9204081,['A. Kent']
333,9204082,"['B. Eynard', 'J. Zinn-Justin']"
334,9204083,['Edward Witten']
335,9204084,['David A. Lowe']
336,9204085,"['B.~Gato-Rivera', 'A.~M.~Semikhatov']"
337,9204086,"['Y. Frishman', 'J. Lukierski', 'W.J. Zakrzewski']"
338,9204088,"['H. Dorn', 'H.-J. Otto']"
339,9204089,"['A.T.Filippov', 'A.P.Isaev', 'A.B.Kurdikov']"
340,9204090,"['Gary W. Gibbons', 'Malcolm J. Perry']"
341,9204091,['Washington Taylor IV']
342,9204092,['Leonid Dickey']
343,9204093,['C.N. Pope']
344,9204094,"['P. Fendley', 'H. Saleur']"
345,9204095,"['O. Aharony', 'O. Ganor ', 'N. Sochen J. Sonnenschein', 'S. Yankielowicz']"
346,9204096,"['John Ellis', 'N.E. Mavromatos', 'D.V. Nanopoulos']"
347,9204097,['A. Kent']
348,9204098,['A. Kent']
349,9204099,"['Maximo Banados', 'Claudio Teitelboim', 'and Jorge Zanelli']"
350,9204100,"['Z. Maassarani', 'D. Nemeschansky', 'N.P. Warner']"
351,9204101,"['Daniel Cangemi', 'Choonkyu Lee']"
352,9204102,"['Sergio Cecotti', 'Paul Fendley', 'Ken Intriligator', 'Cumrun Vafa']"
353,9204103,['Daniel Kabat']
354,9205001,"['Vidyut Jain', 'Oleg Ogievetsky']"
355,9205002,"['H. Awata', 'Y. Yamada']"
356,9205003,"['O. Ogievetsky', 'B. Zumino']"
357,9205004,"['Maximilian Kreuzer', 'Harald Skarke']"
358,9205005,"['Glenn Barnich', 'Marc Henneaux']"
359,9205006,['J. Greensite']
360,9205007,['John C. Baez']
361,9205008,['Jerome P. Gauntlett']
362,9205009,"['Gabriel Lopes Cardoso', 'Burt A. Ovrut']"
363,9205010,"['L. Alvarez-Gaume', 'J.L.F. Barbon']"
364,9205011,"['M. Dine', 'R.G. Leigh', 'D.A. MacIntire']"
365,9205012,"['B. de Wit', 'M.T. Grisaru', 'E. Rabinovici', 'H. Nicolai']"
366,9205013,['G.M.T.Watts']
367,9205014,['G.P.Korchemsky']
368,9205015,"['I. Antoniadis', 'P.O. Mazur', 'E. Mottola']"
369,9205016,['Jnanadeva Maharana']
370,9205017,"['Christopher Ting', 'C. H. Lai']"
371,9205018,['Marc Henneaux']
372,9205019,['C.S.Aulakh']
373,9205020,"['I.Ya.Arefeva', 'A.P.Zubarev']"
374,9205021,"['B. Harms', 'Y. Leblanc']"
375,9205022,['Steven Carlip']
376,9205023,"['Rue-Ron Hsu', 'Green Huang ', 'Wei-Fu Lin', 'and Chin-Rong Lee']"
377,9205024,['Marcio J. Martins']
378,9205025,"['M. Fabbrichesi', 'R. Iengo', 'K. Roland']"
379,9205026,"['J.D. Cohn', 'Vipul Periwal']"
380,9205027,"['Renata Kallosh', 'Andrei Linde', 'Tomas Ortin', 'Amanda Peet', 'Antoine']"
381,9205028,['Andrew Strominger']
382,9205029,"['Mirjam Cvetic', 'Paul Langacker']"
383,9205030,['Haruhiko Terao']
384,9205031,"['Costas Bachas', 'Marios Petropoulos']"
385,9205032,['W.A. Sabra']
386,9205033,"['M. Fabbrichesi', 'K. Roland']"
387,9205034,['Jean-Loup Gervais']
388,9205035,['HoSeong La']
389,9205036,['Alfred S. Goldhaber']
390,9205037,"['I. Bars', 'K. Sfetsos (USC)']"
391,9205038,['Abhay Ashtekar']
392,9205039,"['P. P. Kulish', 'R. Sasaki', 'C. Schwiebert']"
393,9205040,['Patrick Dorey']
394,9205041,"['Albrecht Klemm', 'Stefan Theisen']"
395,9205042,['Peter Suranyi']
396,9205043,"['Joseph Polchinski', 'Zhu Yang']"
397,9205044,['T. Kuramoto']
398,9205045,"['Silvia Penati', 'Daniela Zanon']"
399,9205046,"['C. Kounnas', 'D. Luest']"
400,9205047,"['E. Elizalde', 'S.D. Odintsov (Department E.C.M.', 'Faculty of Physics,']"
401,9205048,"['E. Elizalde', 'S.D.Odintsov (Department E.C.M.', 'Faculty of Physics,']"
402,9205049,"['E. Elizalde', 'S.D. Odintsov (Department E.C.M.', 'Faculty of Physics,']"
403,9205050,"['E. Elizalde', 'S.D. Odintsov (Department E.C.M.', 'Faculty of Physics,']"
404,9205051,['Ramzi R. Khuri']
405,9205052,['Ramzi R. Khuri']
406,9205053,['Noureddine Mohammedi']
407,9205054,"['H.Lu', 'C.N. Pope', 'X.J. Wang', 'K.W. Xu']"
408,9205055,"['Michio Jimbo', 'Kei Miki', 'Tetsuji Miwa', 'Atsushi Nakayashiki']"
409,9205056,"['Clifford V.Johnson', 'Tim R. Morris', 'Anders Watterstam']"
410,9205057,['A.DAdda']
411,9205058,['A.A. Tseytlin']
412,9205059,"['V. Kazakov', 'I. Kostov']"
413,9205060,"['M. Cveti\\v c', 'R. L. Davis']"
414,9205061,"['Jennie Traschen', 'Robert Ferrel']"
415,9205062,"['Supriya K. Kar', 'S. Pratik Khastgir', 'Gautam Sengupta']"
416,9205063,['Ulf H. Danielsson']
417,9205064,"['D. Bernard', 'A. LeClair']"
418,9205065,['Vl.S.Dotsenko']
419,9205066,"['H.Y. Lee', 'A. Nakamichi', 'T. Ueno']"
420,9205067,['P.Montague']
421,9205068,['Vadim Kaplunovsky']
422,9205069,['S.P. de Alwis']
423,9205070,['Vadim Kaplunovsky']
424,9205071,"['H. Grosse', 'W. Kummer', 'P. Pre\\v{s}najder', 'D.J. Schwarz']"
425,9205072,['A. N. Schellekens']
426,9205073,"['J. Ambjorn', 'C.F. Kristjansen']"
427,9205074,"['J. W. van Holten', 'R. H. Rietdijk']"
428,9205076,['M.A. Mart{\\i}n-Delgado']
429,9205077,"['G. Bimonte', 'K. S. Gupta', 'A. Stern']"
430,9205078,['Swapna Mahapatra']
431,9205079,['M{\\aa}ns Henningson']
432,9205080,['Arlen Anderson']
433,9205081,['Ramzi R. Khuri']
434,9205082,"['Stephen G. Naculich', 'Harold A. Riggs', 'and Howard J. Schnitzer']"
435,9205083,['HoSeong La']
436,9205084,['Hidenori Sonoda']
437,9205085,['Hidenori Sonoda']
438,9205086,['Stephane Durand']
439,9205087,"['Tatsuo Kobayashi', 'Tsuneo Uematsu']"
440,9205088,['Albert Schwarz']
441,9205089,"['Adel Bilal', 'Curtis Callan']"
442,9205090,['Hirosi Ooguri']
443,9205091,['Ramzi R. Khuri']
444,9205092,"['Marc Henneaux', 'Claudio Teitelboim', 'J. David Vergara']"
445,9205093,"['G.W. Delius', 'M.T. Grisaru', 'P. van Nieuwenhuizen']"
446,9205094,"['L. Dolan', 'James T. Liu']"
447,9205095,['Ian I. Kogan']
448,9205096,"['H. Cateau ', 'K. Sumiyoshi']"
449,9205097,['J. Lee Montag']
450,9205098,"['R.B. Mann', 'S.F. Ross']"
451,9205099,"['J. A. Dixon', 'M. J. Duff']"
452,9205100,['J. Distler']
453,9205101,"['Nobuyoshi Ohta', 'Hisao Suzuki']"
454,9205102,['Roberto Zucchini']
455,9205103,['Leonardo Castellani']
456,9205104,['Jae-Suk Park']
457,9205105,['Jeremy Schiff']
458,9205106,['L.Chekhov']
459,9205107,"['John Ellis', 'N.E. Mavromatos', 'D.V. Nanopoulos']"
460,9205108,['Ramzi R. Khuri']
461,9205109,"['R. Cuerno', 'G. Sierra', 'C. Gomez']"
462,9205110,['I.M.Krichever']
463,9205111,['Hitoshi Ikemori']
464,9205112,['Arlen Anderson']
465,9205113,"['P.C. Argyres', 'E. Lyman', 'and S.-H.H. Tye']"
466,9205114,"['Amanda Peet', 'Leonard Susskind', 'Larus Thorlacius']"
467,9205115,"['Hsien-Chung Kao', 'Kimyeong Lee']"
468,9205116,"['A.P. Balachandran', 'P. Teotonio-Sobrinho']"
469,9205117,"['Feng Yu', 'Yong-Shi Wu']"
470,9206001,"['A. Berkovich', 'G. Sierra', 'C. Gomez']"
