auteur,references
Nathan Seiberg,"[9201017, 9402044, 9408013, 9506077, 9605199, 9606017, 9607163, 9608086, 9608111, 9609070, 9609161, 9702187, 9704089, 9705057, 9705117, 9705221, 9707158, 9708085, 9710009, 9802144, 9803179, 9806074, 9903224, 9904142, 9908142, 9912072, 2186, 8013, 105038, 108152, 201039, 204168, 206182, 212225]"
Stephen Shenker,"[9201017, 9608086, 9612157, 10016, 12081, 201158, 212277]"
Waichi Ogura,[9201018]
J. A. Dixon,"[9201019, 9205099, 9206082, 9208055, 9210092, 9304035, 9308013, 9308088]"
 M. J. Duff,"[9201019, 9208055, 102093, 212186]"
,"[9201019, 9201026, 9201059, 9201078, 9202007, 9202052, 9202085, 9203025, 9203042, 9203080, 9204068, 9204099, 9205023, 9205047, 9205048, 9205049, 9205050, 9205082, 9205113, 9206004, 9206024, 9206029, 9207013, 9207037, 9208077, 9209002, 9209034, 9209036, 9209044, 9209088, 9210123, 9210150, 9211030, 9211088, 9212009, 9212020, 9212125, 9301043, 9301051, 9302121, 9302125, 9303005, 9303050, 9303068, 9303107, 9303131, 9303154, 9303165, 9304032, 9304043, 9304053, 9304056, 9304081, 9304113, 9304123, 9305007, 9305008, 9305030, 9305059, 9305066, 9305075, 9305082, 9305083, 9305097, 9305100, 9306022, 9306027, 9306069, 9306078, 9306153, 9307001, 9307027, 9307077, 9307091, 9307180, 9308003, 9308005, 9308044, 9308071, 9308102, 9308103, 9308138, 9308143, 9309036, 9309137, 9310025, 9310036, 9310078, 9310082, 9310097, 9310103, 9310105, 9310107, 9310138, 9310172, 9310173, 9311028, 9311042, 9311076, 9311114, 9311148, 9312089, 9312091, 9401030, 9401128, 9401155, 9402092, 9402108, 9402153, 9403137, 9403139, 9403153, 9403196, 9404059, 9404089, 9404152, 9405120, 9405187, 9405196, 9406024, 9406040, 9406050, 9406051, 9406062, 9406063, 9406100, 9406137, 9406147, 9407040, 9407047, 9407125, 9407166, 9407168, 9407172, 9408071, 9408103, 9408132, 9409019, 9409033, 9409130, 9410010, 9410086, 9410122, 9410234, 9411092, 9411115, 9411201, 9411210, 9412009, 9412082, 9412113, 9412139, 9412143, 9412194, 9501023, 9501029, 9501037, 9501056, 9501058, 9501101, 9501102, 9501108, 9501140, 9502003, 9502006, 9502045, 9502057, 9502059, 9502066, 9502069, 9502102, 9502113, 9502114, 9502127, 9502153, 9502154, 9503004, 9503020, 9503055, 9503167, 9503220, 9503230, 9503236, 9504037, 9504145, 9504151, 9504155, 9505012, 9505048, 9505054, 9505100, 9505118, 9505122, 9505136, 9505157, 9505190, 9506010, 9506037, 9506127, 9506138, 9506166, 9506173, 9506182, 9506191, 9507013, 9507034, 9507052, 9507134, 9507143, 9507170, 9508015, 9508072, 9508077, 9508117, 9509006, 9509032, 9509054, 9509088, 9509136, 9509139, 9509142, 9509147, 9509164, 9509168, 9509169, 9509171, 9510037, 9510090, 9510119, 9510141, 9510144, 9510184, 9510223, 9510232, 9510241, 9511003, 9511078, 9511082, 9511129, 9511133, 9511141, 9511151, 9511152, 9511154, 9511163, 9511173, 9511205, 9512036, 9512071, 9512110, 9512114, 9512184, 9601054, 9601094, 9601096, 9601097, 9601101, 9601104, 9601108, 9601133, 9601161, 9601165, 9602011, 9602055, 9602056, 9602139, 9602151, 9602167, 9603041, 9603042, 9603043, 9603072, 9603104, 9603109, 9603116, 9603128, 9603173, 9603177, 9603199, 9603206, 9604014, 9604088, 9604102, 9604112, 9604188, 9605027, 9605036, 9605086, 9605126, 9605128, 9605139, 9605165, 9605184, 9605187, 9605200, 9605211, 9606040, 9606062, 9606073, 9606082, 9606129, 9606152, 9606159, 9606169, 9607021, 9607057, 9607071, 9607077, 9607091, 9607093, 9607104, 9607108, 9607137, 9607141, 9607184, 9607217, 9607228, 9608024, 9608069, 9608101, 9608123, 9608129, 9608131, 9608150, 9609016, 9609034, 9609057, 9609150, 9609180, 9609195, 9609223, 9609238, 9610023, 9610027, 9610056, 9610057, 9610135, 9610143, 9610155, 9610172, 9610179, 9610182, 9610191, 9610205, 9610209, 9610247, 9610249, 9611027, 9611028, 9611232, 9612003, 9612035, 9612060, 9612080, 9612084, 9612088, 9612093, 9701043, 9701056, 9701068, 9701093, 9701102, 9701109, 9701122, 9701144, 9701162, 9701166, 9701172, 9702002, 9702055, 9702103, 9702104, 9702128, 9702133, 9702148, 9703027, 9703040, 9703052, 9703084, 9703098, 9703102, 9703110, 9703139, 9704025, 9704034, 9704087, 9704145, 9704169, 9704175, 9704208, 9705027, 9705105, 9705144, 9705218, 9705224, 9705239, 9706022, 9706031, 9706070, 9706072, 9706080, 9706083, 9706099, 9706216, 9707029, 9707030, 9707037, 9707065, 9707068, 9707079, 9707112, 9707148, 9707159, 9707160, 9707227, 9707248, 9707252, 9708016, 9708079, 9708098, 9709035, 9709042, 9709118, 9709134, 9709181, 9709226, 9710010, 9710101, 9710220, 9710240, 9711057, 9711126, 9711133, 9711144, 9711147, 9711159, 9711168, 9711178, 9711186, 9711190, 9711192, 9711195, 9712049, 9712204, 9712216, 9712223, 9712241, 9801019, 9801021, 9801037, 9801041, 9801043, 9801073, 9801081, 9801082, 9801112, 9801128, 9801140, 9802020, 9802075, 9802106, 9802120, 9802145, 9802181, 9802196, 9803023, 9803039, 9803047, 9803087, 9803227, 9803228, 9804121, 9804156, 9804165, 9804177, 9805001, 9805073, 9805128, 9805151, 9805176, 9805179, 9805217, 9806080, 9806100, 9806105, 9806112, 9806133, 9806133, 9806149, 9806157, 9806164, 9806166, 9806207, 9807081, 9807098, 9807115, 9807141, 9807158, 9807212, 9808001, 9808011, 9808057, 9808070, 9808122, 9808138, 9808144, 9808152, 9809016, 9809048, 9809061, 9810006, 9810020, 9810029, 9810040, 9810062, 9810068, 9810082, 9810097, 9810103, 9810114, 9810138, 9810217, 9810227, 9810243, 9811007, 9811010, 9811048, 9811083, 9811090, 9811104, 9811109, 9811139, 9811210, 9812001, 9812007, 9812051, 9812063, 9812079, 9812080, 9812114, 9812164, 9812206, 9901070, 9901071, 9901081, 9901087, 9901107, 9901108, 9901109, 9901124, 9901128, 9901151, 9902001, 9902035, 9902062, 9902067, 9902093, 9902130, 9902153, 9902177, 9902179, 9902202, 9903027, 9903051, 9903076, 9903077, 9903127, 9903138, 9903155, 9903196, 9903222, 9903235, 9904013, 9904017, 9904102, 9904123, 9904130, 9904131, 9904172, 9904181, 9904191, 9904215, 9905012, 9905062, 9905074, 9905111, 9905112, 9905174, 9905206, 9906015, 9906087, 9906119, 9906181, 9906183, 9906194, 9906195, 9906236, 9907045, 9907059, 9907068, 9907090, 9907111, 9907124, 9907137, 9907176, 9907197, 9907219, 9908047, 9908066, 9908070, 9908082, 9908106, 9908112, 9909086, 9909134, 9909153, 9909175, 9909177, 9909181, 9909221, 9910002, 9910012, 9910021, 9910071, 9910078, 9910101, 9910107, 9910129, 9910141, 9910189, 9910219, 9910240, 9911029, 9911069, 9911086, 9911161, 9911204, 9911224, 9911248, 9912043, 9912049, 9912077, 9912085, 9912134, 9912135, 9912176, 9912222, 9912252, 9912263, 9912280, 1036, 1046, 1097, 1112, 1179, 2012, 2091, 2095, 2121, 2149, 2211, 3014, 3023, 3082, 3092, 3093, 3115, 3118, 3133, 3148, 3151, 3158, 3247, 3260, 4020, 4041, 4048, 4066, 4077, 4087, 4099, 4157, 4190, 5001, 5003, 5035, 5076, 5090, 5091, 5121, 5143, 5183, 5197, 5257, 6118, 6121, 6128, 6129, 6130, 6133, 6134, 6161, 6164, 6192, 6212, 7093, 7139, 7140, 7161, 7189, 7210, 7242, 7254, 8016, 8064, 8102, 9059, 9140, 9142, 9200, 9223, 10016, 10024, 10060, 10062, 10100, 10105, 10205, 10244, 10260, 11015, 11019, 11079, 11090, 11119, 11137, 11178, 11206, 11282, 12074, 12090, 12104, 12127, 12197, 12202, 12205, 12233, 12251, 12256, 101003, 101019, 101083, 101089, 101091, 101092, 101111, 101120, 101142, 101155, 101169, 101170, 101184, 101213, 101223, 102051, 102112, 102115, 102117, 102131, 102139, 102155, 103006, 103010, 103027, 103109, 103128, 103147, 103171, 103185, 103202, 103227, 104060, 104162, 104165, 104201, 104251, 104259, 105038, 105058, 105087, 105097, 105134, 105163, 105168, 105275, 105279, 105300, 106001, 106010, 106024, 106049, 106067, 106071, 106082, 106144, 106164, 106177, 106185, 106226, 106227, 107005, 107017, 107024, 107053, 107135, 107138, 107140, 107192, 107215, 108029, 108045, 108075, 108130, 108133, 108141, 108153, 108156, 108172, 108205, 109014, 109023, 109069, 109087, 109110, 109151, 109217, 110051, 110127, 110155, 110160, 110164, 110194, 110220, 110229, 110267, 110286, 111099, 111123, 111173, 111179, 111181, 111212, 111223, 111242, 111257, 111281, 112033, 112041, 112142, 112151, 112165, 112175, 112188, 112217, 112229, 112237, 112244, 201013, 201017, 201084, 201117, 201132, 201140, 201158, 201168, 201192, 201193, 201235, 201259, 202009, 202048, 202080, 202087, 202089, 202098, 202106, 202124, 202145, 202151, 202169, 203022, 203024, 203057, 203070, 203078, 203095, 203141, 203226, 203261, 204003, 204023, 204024, 204038, 204049, 204050, 204051, 204082, 204127, 204132, 204136, 204144, 204199, 204221, 204251, 205080, 205137, 205305, 205317, 206008, 206035, 206080, 206115, 206154, 206180, 206197, 206216, 206229, 206235, 206246, 207038, 207083, 207140, 207239, 207244, 207252, 207253, 207262, 207264, 207267, 208003, 208090, 208090, 208136, 208148, 208163, 208183, 208184, 209039, 209070, 209102, 209119, 209120, 209132, 209161, 209181, 209231, 209251, 209253, 210062, 210077, 210143, 210149, 210185, 210188, 210205, 210257, 210286, 210294, 211071, 211072, 211133, 211145, 211152, 211153, 211159, 211224, 211241, 211266, 211291, 212108, 212124, 212168, 212213, 212256, 212272, 212277, 212305, 212312, 212346, 301062, 301096, 301134, 301178, 301190, 301205, 301216, 301238, 302002, 302157, 302168, 302197, 302225, 302227, 303003, 303046, 303053, 303084, 303142, 303208, 303224, 303268, 304017, 304031, 304107, 304138, 304199, 304214, 304243, 304249, 304269]"
E. Sezgin,"[9201019, 9202086, 9206101, 9206108, 9210061, 9212092, 9307043, 9310126, 9312168, 9312201, 9407021, 9410051, 9411055, 9412163, 9504122, 9504140, 9511161, 9511162, 9512082, 9602099, 9607227, 9611008, 9612220, 9704057, 9710223, 9711128, 9801202, 9804051, 9805125, 9806050, 9809204, 9810081, 9810183, 9902171, 9903020, 12168, 105001, 107186, 112100, 205131, 205132, 212323]"
A.S. Galperin,[9201020]
K.S. Stelle,"[9201020, 9206108, 9401007, 9508042, 9511203, 9602140, 9605082, 9706207, 9707207, 9708109, 9710244, 9807051, 9810159, 9907202, 9911156, 11167, 203015, 208055, 209193, 210228, 211279, 212081, 302164]"
J. Russo,"[9201021, 9201074, 9206070, 9209012, 9211057, 9707134, 9804076]"
A.A. Tseytlin,"[9201021, 9203033, 9205058, 9206067, 9209023, 9210015, 9211061, 9301015, 9302083, 9303054, 9310159, 9402082, 9402120, 9404063, 9404191, 9406067, 9407099, 9408040, 9409021, 9410008, 9411099, 9411198, 9502038, 9505052, 9505129, 9505145, 9506071, 9508068, 9509050, 9509123, 9510041, 9510097, 9510173, 9512081, 9601109, 9601177, 9602064, 9603099, 9604035, 9604089, 9604166, 9605091, 9606033, 9607107, 9609212, 9610172, 9611047, 9611111, 9612164, 9701125, 9702163, 9703040, 9704127, 9705120, 9707134, 9709087, 9709123, 9712063, 9801120, 9802133, 9804076, 9804083, 9805028, 9806095, 9806141, 9807097, 9808088, 9809032, 9811035, 9811232, 9901101, 9902095, 9903091, 9906151, 9908105, 9911135, 9911253, 1041, 2159, 5072, 7036, 7086, 8107, 9171, 9226, 10088, 11033, 11191, 12034, 12080, 101043, 104138, 104238, 108140, 110107, 110173, 111017, 111128, 201112, 202109, 202179, 204226, 207241, 208114, 209116, 211101, 211289, 304139]"
Hiroki Fukutaka,"[9201022, 9203049]"
C.N. Pope,"[9201023, 9204038, 9204093, 9209067, 9209111, 9211051, 9309125, 9411101, 9512012, 9512153, 9601089, 9603037, 9604052, 9605077, 9606047, 9607027, 9611079, 9611134, 9612224, 9701177, 9702086, 9703012, 9704186, 9707182, 9710119, 9710155, 9710243, 9711089, 9803061, 9806106, 9807173, 9810123, 9811107, 9903001, 9905096, 9905161, 9906168, 9906221, 9909099, 9909121, 9909184, 9910252, 1002, 2054, 2099, 3286, 4201, 5172, 7109, 7209, 8050, 9183, 11023, 12011, 101096, 102185, 103155, 105096, 106026, 106162, 108245, 111096, 112098, 112138, 203060, 203082, 203229, 206151, 208031, 212037, 304132]"
H. Aratyn,"[9201024, 9209006, 9302125, 9304080, 9304152, 9307064, 9307147, 9308086, 9401058, 9407017, 9407112, 9408104, 9501018, 9503211, 9509096, 9602068, 9607234, 9608107, 9704119, 9902141, 9905079, 104092, 107056]"
 L.A. Ferreira,"[9201024, 9206096, 9207061, 9212086, 9302125, 9304080, 9304152, 9307064, 9307147, 9308086, 9312144, 9509096, 9902141, 9903168, 9905079, 208175, 211277]"
 J.F. Gomes,"[9201024, 9201030, 9206096, 9207061, 9211029, 9212086, 9302125, 9304080, 9304152, 9307064, 9307147, 9308086, 9408104, 9509096, 107056, 109117, 201047]"
 A.H. Zimerman,"[9201024, 9206096, 9304152, 107056]"
M.Forger,"[9201025, 9210130]"
 J.Laartz,"[9201025, 9210130]"
 U.Schaeper,"[9201025, 9210130]"
Jean-Loup Gervais,"[9201026, 9203039, 9205034, 9211088, 9212109, 9304132, 9305043, 9308134, 9310116, 9312040, 9403026, 9405136, 9408042, 9408069, 9408076, 9505047, 9601034, 9605105, 9606151, 9810172, 9811108, 9903218, 9910235, 9911008, 9912089]"
Yutaka Matsuo,"[9201026, 9305151, 9712070, 5111, 9002, 105175, 106027, 107007, 202030, 204260]"
J. M. Isidro,"[9201027, 9210124, 9307037, 9307176, 9510064, 9609116, 9703176, 9221]"
 J. M. F. Labastida,"[9201027, 9210124]"
A. V. Ramallo,"[9201027, 9210124, 9307037, 9505149, 9509061, 9704065, 110096, 303193]"
Terry Gannon (Carleton University),[9201028]
C.S. Lam (McGill University),"[9201028, 9804181, 9805011]"
Renata Kallosh,"[9201029, 9205027, 9209116, 9211015, 9302109, 9303106, 9306085, 9306095, 9401025, 9406059, 9406093, 9502069, 9503029, 9506113, 9507022, 9509102, 9511115, 9602014, 9602136, 9603090, 9604193, 9606093, 9607077, 9610155, 9611094, 9611161, 9611162, 9612004, 9702103, 9705056, 9705118, 9709069, 9709202, 9804099, 9807206, 9812087, 9901095, 9902007, 9907124, 9910021, 9912053, 1071, 6179, 10271, 104073, 106241, 107097, 109168, 110089, 203019, 205315, 208156, 208157]"
L.A. Ferreira,"[9201030, 9411036, 9412127, 9512105, 9606066, 10168]"
 R.M. Ricotta,[9201030]
A.H. Zimerman,"[9201030, 9207061, 9302125, 9307064, 9307147, 9308086, 9312144, 9407017, 9407112, 9408104, 9509096, 9902141, 9905079, 2173, 7116, 7169, 10257, 11187, 201047, 205228, 212046]"
M. Ruiz–Altaba,[9201031]
Marcio J. Martins,"[9201032, 9205024]"
L. Chekhov,"[9201033, 9202006, 9705014, 9805212, 9811200, 9903209]"
Yu. Makeenko,"[9201033, 9202006, 9203009, 9302014, 9303079, 9303138, 9306043, 9309012, 9310191, 9408029, 9608172]"
Katsumi Itoh,"[9201034, 9305179]"
Nobuyoshi Ohta,"[9201034, 9205101, 9206012, 9310180, 9312187, 9402118, 9405144, 9411156, 9504099, 9603070, 9605083, 9609207, 9701095, 9702164, 9706153, 9706219, 9709065, 9710129, 9710218, 9801023, 9808111, 9811057, 9908006, 9910092, 9912013, 1213, 7106, 9021, 105070, 112034, 112050, 204161, 210206, 301095, 301233, 302140, 303238, 304172]"
O. Babelon,"[9201035, 9411160, 9603010, 9606068, 9612099, 209071, 210154, 304052]"
M. Talon,"[9201035, 9210014, 9210128, 9411160]"
Mordechai Spiegelglas,[9201036]
Shimon Yankielowicz,"[9201036, 9408116, 9511098, 9601011, 9603009, 9901134, 205090]"
Joshua Feinberg,"[9201037, 9212069, 9304059, 9404143, 9411040, 9912195, 109043, 109045, 201078]"
L. Feher,"[9201038, 9206113, 9210037, 9211094, 9304125, 9307190, 9408065, 9410203, 9808096, 111252, 212006]"
 L. O'Raifeartaigh,"[9201038, 9304125, 9307190, 9607110, 9611118, 9704027, 8196]"
 P. Ruelle,"[9201038, 9304125, 9503141, 9511089, 9808158, 7095, 107150]"
I. Tsutsui,"[9201038, 9206113, 9304125, 9307190, 9408065]"
I. Jack,"[9201039, 9302077, 9308080, 9310029, 9311117, 9911064, 105221, 109015, 109195]"
 D. R. T. Jones,"[9201039, 9308080, 9311117]"
J. Panvel,"[9201039, 9204024, 9302077, 9308080, 9311117]"
Taichiro Kugo,"[9201040, 9511033, 9711100, 203276]"
Barton Zwiebach,"[9201040, 9201056, 9202015, 9202062, 9206084, 9307088, 9309027, 9311009, 9408053, 9411047, 9511077, 9605075, 9606153, 9701015, 9705038, 9705241, 9707051, 9709013, 9711087, 9801205, 9804210, 9805220, 9812028, 9812209, 9907164, 9912249, 2127, 2211, 5036, 6240, 7153, 8227, 8231, 9246, 10190, 11226, 12251, 102112, 105058, 105168, 106010, 111129, 111153, 111281, 201159, 202087, 202151, 207107]"
Ashoke Sen,"[9201041, 9204046, 9206016, 9207053, 9209016, 9210050, 9210121, 9302038, 9303057, 9304154, 9305185, 9307088, 9309027, 9311009, 9402002, 9402032, 9408053, 9408083, 9411187, 9503057, 9504027, 9504147, 9507027, 9508064, 9509108, 9510229, 9511026, 9512203, 9602010, 9603113, 9604070, 9605150, 9608005, 9609176, 9611186, 9702061, 9702165, 9703157, 9705212, 9707042, 9707123, 9708002, 9709159, 9709220, 9711130, 9712150, 9802051, 9803194, 9805019, 9805170, 9808141, 9809111, 9812031, 9902105, 9904207, 9906109, 9907164, 9908060, 9909062, 9911116, 9912249, 3124, 3278, 7153, 7158, 9038, 9090, 9191, 10240, 203211, 203265, 204143, 207105, 209122, 303057]"
Alberto Carlini,"[9201042, 9201043]"
Maurizio Martellini,"[9201042, 9201043, 9607044, 9610090, 9702035]"
M.A.R. Osorio,"[9201044, 9207002, 9305137, 9305138, 9311080]"
M.A. Vazquez-Mozo,"[9201044, 9207002, 9212006, 9305137, 9305138, 9311080, 9605050, 9701142, 9704173, 9805154, 9806167, 9905030, 9906006, 9912140, 2070, 4080, 4094, 105182, 107110, 109038]"
Ramzi R. Khuri,"[9201045, 9201046, 9205051, 9205052, 9205081, 9205091, 9205108, 9212026, 9212029, 9301035, 9302108, 9303074, 9305089, 9305142, 9305143, 9403031, 9412150, 9412151, 9506065, 9506086, 9508045, 9602153, 9609094, 9704110, 9709124, 9910122, 9911082, 6063, 107092, 109041, 201194, 202158, 209049]"
HoSeong La,"[9201045, 9201046, 9205035, 9205083, 9212041, 9505176, 9510147, 9606060, 9608148, 9704196, 9805062, 9904051]"
18 pages,[9201047]
A.P.Balachandran,"[9201048, 9202052, 9304032, 9404193, 9509019, 203259]"
 G.Bimonte,"[9201048, 9304032]"
 K.S.Gupta,"[9201048, 9304032]"
A.Stern,"[9201048, 9410216]"
Eric Smith,"[9201049, 9208039]"
H. Lu,"[9201050, 9202060, 9203024, 9204038, 9212017, 9212117, 9301099, 9304115, 9308114, 9309041, 9311084, 9402133, 9410005, 9411101, 9502108, 9503158, 9503159, 9504122, 9508042, 9511203, 9512012, 9512153, 9601089, 9602140, 9604058, 9604127, 9605082, 9606047, 9607027, 9610107, 9611079, 9612224, 9701177, 9702086, 9707182, 9708055, 9708109, 9710155, 9805151, 9810159, 9906168, 9909203, 2099, 8050, 202075, 202175, 204001, 204231, 212323]"
 C.N. Pope,"[9201050, 9202060, 9203024, 9205054, 9212017, 9212117, 9301099, 9302073, 9304115, 9308114, 9309041, 9311084, 9401007, 9402133, 9404170, 9410005, 9410006, 9502108, 9503158, 9503159, 9504121, 9504122, 9508042, 9511161, 9511162, 9511203, 9602140, 9604058, 9605082, 9607164, 9608173, 9610107, 9702058, 9707207, 9708055, 9708109, 9710244, 9803259, 9805151, 9807006, 9807051, 9810159, 9901002, 9901115, 9903057, 9907202, 9909203, 2056, 3103, 5137, 5246, 11167, 108191, 110238, 204064, 209193, 212323]"
 S. Schrans,"[9201050, 9202060, 9203024, 9212117, 9301099]"
K.W. Xu,"[9201050, 9205054, 9309041, 9404170, 9410006, 9502108, 9503158, 9503159, 9504121, 9604058]"
M. Bordemann,"[9201051, 9909191]"
 M. Forger,"[9201051, 9203075]"
 J. Laartz,[9201051]
 U. Schaeper,[9201051]
J. Maharana,"[9201052, 9506213, 9603110, 9705058, 9903105]"
S. mukherji,[9201052]
S.P. de Alwis,"[9201053, 9205069, 9504033, 9508053, 9601167, 9607011, 9609211, 9611189, 9705139, 9706142, 2174, 7223, 101200, 201185]"
Michael B. Green,"[9201054, 9212085, 9403040, 9404166, 9406012, 9504108, 9510016, 9602077, 9604091, 9604119, 9705074, 9712146, 9712195, 9808061, 9810153, 9903124, 9907155, 9908020, 9910055, 9910056, 5211, 211122]"
Edward Witten,"[9201056, 9204083, 9206069, 9206078, 9207094, 9208027, 9210065, 9301042, 9303067, 9304026, 9306104, 9306122, 9307038, 9312104, 9403054, 9403195, 9404184, 9408074, 9409111, 9409188, 9410052, 9411102, 9503124, 9503212, 9505053, 9505186, 9506101, 9507050, 9507121, 9510101, 9510135, 9510169, 9510209, 9511030, 9512219, 9601036, 9602070, 9603150, 9604030, 9607163, 9609122, 9609159, 9610234, 9611230, 9701162, 9703166, 9706109, 9707093, 9709193, 9710065, 9711053, 9712028, 9802150, 9803131, 9805112, 9805114, 9807080, 9807109, 9807205, 9810188, 9811048, 9812012, 9901021, 9903005, 9903224, 9905104, 9907041, 9908142, 9909229, 9910205, 9910245, 9912086, 9912279, 5090, 5091, 6010, 7175, 12054, 103099, 106109, 107177, 108165, 109152, 112258, 202056, 203061, 211170, 211269, 212247, 301006, 302194, 303207, 304079, 304115]"
C. M. Hull,"[9201057, 9206031, 9308022, 9310135, 9410167, 9503021, 9612208, 9704021, 9708047, 9710096, 9802179, 9911080, 111072]"
R.Efraty,[9201058]
V.P.Nair,"[9201058, 9212068, 9403145, 9403146, 9406073, 9406074, 9510157]"
Sidney Coleman,"[9201059, 9305123]"
 John Preskill,"[9201059, 9403137, 110205]"
Frank Wilczek,"[9201059, 9302096, 9401072, 9408089, 9411219, 9506066, 9511064, 9604134, 9609084, 9609099, 9610252, 9703131, 9706014, 9710135, 9801184, 9803075, 9806228]"
J.M. Lina,[9201060]
P.K. Panigrahi,[9201060]
T.Banks,"[9201061, 9503114, 9503145, 9511194, 9601151, 9709091, 7146, 11255, 102077, 206096, 209113, 211160]"
 A. Dabolkhar,[9201061]
 M.R. Douglas,[9201061]
 M. O' Loughlin (Rutgers U),[9201061]
G. Bimonte,"[9201062, 9205077, 9502085, 9507147, 9507148, 9602094, 9704118, 9706190, 9707153, 9707201, 9912091, 303206]"
 P. Salomonson,"[9201062, 106186, 111050]"
 A. Simoni,"[9201062, 9310145]"
 A. Stern,"[9201062, 9205077, 9302005, 9310145, 9602094, 9704118, 9706190, 9707153, 9707201]"
Marc Kamionkowski,"[9201063, 9202003]"
